route_id,vehicle_type,power_type,vehicle_instance,unit_sequence,customer_sequence,unit_type_sequence,departure_min,departure_hhmm,return_min,return_hhmm,route_cost,startup_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_wait_min,total_late_min,fuel_l,electricity_kwh,reference_fuel_l,reference_electricity_kwh,route_distance_km,after_hours_travel_km,after_hours_service_count,after_hours_return_flag,late_positive_stop_count,max_late_min,load_used_kg,load_used_m3,weight_utilization,volume_utilization,green_zone_visit_count,fuel_green_zone_pre16_violation_count
11,ev_1250,ev,11,110,0->52->0,mandatory_split,382.0,14:22,705.3550293128937,19:45,539.37169,400.0,116.281928,23.089762,0.0,0.0,0.0,0.0,0.0,70.903614,53.958318,70.903614,178.175552,0.0,0,0,0,0.0,1247.9146,2.84981,0.998332,0.335272,0,0
12,ev_1250,ev,12,167,0->71->0,mandatory_split,667.0,19:07,864.8683841836388,22:25,516.621638,400.0,97.300886,19.320752,0.0,0.0,0.0,0.0,0.0,59.329809,44.548499,59.329809,149.402283,74.701141,0,1,0,0.0,1247.3338,4.84749,0.997867,0.570293,0,0
13,ev_1250,ev,13,"168,9,50,3",0->71->19->98->5->0,mandatory_split->normal->normal->normal,515.0,16:35,911.6819178650978,23:12,667.790325,400.0,136.37064,27.078719,0.0,104.340966,0.0,125.209159,0.0,83.152829,63.07031,83.152829,202.066835,84.500166,2,1,2,99.003971,1215.7077,4.07054,0.972566,0.478887,1,0
14,ev_1250,ev,14,171,0->73->0,mandatory_split,289.0,12:49,507.2263198767323,16:27,513.543556,400.0,94.732751,18.810805,0.0,0.0,0.0,0.0,0.0,57.763873,43.56907,57.763873,145.426865,0.0,0,0,0,0.0,1248.095,2.62153,0.998476,0.308415,0,0
15,ev_1250,ev,15,172,0->73->0,mandatory_split,289.0,12:49,507.2263198767323,16:27,513.540153,400.0,94.729912,18.810241,0.0,0.0,0.0,0.0,0.0,57.762141,43.567773,57.762141,145.426865,0.0,0,0,0,0.0,1247.8439,3.18236,0.998275,0.374395,0,0
16,ev_3000,ev,1,"4,14",0->9->30->0,normal->normal,107.0,09:47,306.73650413961184,13:07,456.825216,400.0,47.410961,9.414256,0.0,0.0,0.0,0.0,0.0,28.909122,22.310332,28.909122,70.92381,0.0,0,0,0,0.0,2912.191131,7.3825,0.97073,0.492167,1,0
17,ev_3000,ev,2,"5,35",0->11->82->0,normal->normal,115.0,09:55,400.2955592477229,14:40,522.160895,400.0,92.414672,18.350511,0.0,11.395712,0.0,13.674855,0.0,56.35041,42.998396,56.35041,142.912277,0.0,0,0,1,13.674855,2818.6121,9.03592,0.939537,0.602395,1,0
18,ev_3000,ev,3,"52,7,1",0->6->13->3->0,mandatory_split->normal->normal,146.0,10:26,526.7482299804688,16:47,540.708065,400.0,99.295195,19.716756,8.483116,13.212998,25.449347,15.855598,0.0,60.54585,46.408336,60.54585,162.452307,0.0,0,0,1,15.855598,2784.1049,6.44715,0.928035,0.42981,3,0
19,ev_3000,ev,4,"54,46",0->7->93->0,mandatory_split->normal,125.0,10:05,489.808017704112,16:10,540.604399,400.0,117.310413,23.293985,0.0,0.0,0.0,0.0,0.0,71.53074,54.649824,71.53074,192.060959,0.0,0,0,0,0.0,2568.8957,6.26768,0.856299,0.417845,1,0
20,ev_3000,ev,5,"55,6",0->7->12->0,mandatory_split->normal,300.0,13:00,493.6888465881348,16:14,494.899106,400.0,76.398131,15.170153,3.330823,0.0,9.992468,0.0,0.0,46.584226,35.0271,46.584226,112.975031,0.0,0,0,0,0.0,2975.5542,7.622481,0.991851,0.508165,2,0
21,ev_3000,ev,6,59,0->8->0,mandatory_split,154.0,10:34,323.4256496105809,13:23,451.784587,400.0,43.205414,8.579173,0.0,0.0,0.0,0.0,0.0,26.344765,20.347235,26.344765,66.054893,0.0,0,0,0,0.0,2996.45562,11.88564,0.998819,0.792376,1,0
22,ev_3000,ev,7,60,0->8->0,mandatory_split,154.0,10:34,323.4256496105809,13:23,451.330781,400.0,42.826791,8.503991,0.0,0.0,0.0,0.0,0.0,26.113897,20.170182,26.113897,66.054893,0.0,0,0,0,0.0,2818.644803,8.35412,0.939548,0.556941,1,0
23,ev_3000,ev,8,61,0->8->0,mandatory_split,154.0,10:34,323.4256496105809,13:23,451.783846,400.0,43.204796,8.57905,0.0,0.0,0.0,0.0,0.0,26.344388,20.346945,26.344388,66.054893,0.0,0,0,0,0.0,2996.1652,7.59747,0.998722,0.506498,1,0
24,ev_3000,ev,9,62,0->8->0,mandatory_split,154.0,10:34,323.4256496105809,13:23,451.784712,400.0,43.205519,8.579193,0.0,0.0,0.0,0.0,0.0,26.344829,20.347283,26.344829,66.054893,0.0,0,0,0,0.0,2996.5046,8.18979,0.998835,0.545986,1,0
25,ev_3000,ev,10,"111,122",0->52->54->0,mandatory_split->mandatory_split,371.0,14:11,728.5809378541378,20:09,557.999727,400.0,131.823851,26.175876,0.0,0.0,0.0,0.0,0.0,80.380397,60.97603,80.380397,203.60775,0.0,0,0,0,0.0,2944.497986,6.98752,0.981499,0.465835,0,0
26,fuel_1500,fuel,1,2,0->4->0,normal,682.0,19:22,792.4068814637722,21:12,596.866758,400.0,161.690998,35.17576,0.0,0.0,0.0,0.0,21.247175,0.0,21.247175,28.234201,70.058342,11.435009,0,1,0,0.0,1443.5621,3.490997,0.962375,0.323241,1,0
27,fuel_1500,fuel,2,10,0->24->0,normal,460.0,15:40,668.6558982040733,19:09,665.449351,400.0,218.01939,47.429961,0.0,0.0,0.0,0.0,28.649066,0.0,28.649066,37.292942,94.182564,0.0,0,0,0,0.0,1262.1673,2.95599,0.841445,0.273703,0,0
28,fuel_1500,fuel,3,"12,119",0->26->54->0,normal->mandatory_split,396.0,14:36,728.6577075118577,20:09,910.803981,400.0,419.534544,91.269437,0.0,0.0,0.0,0.0,55.129375,0.0,55.129375,72.470165,180.611376,0.0,0,0,0,0.0,1486.868593,3.30905,0.991246,0.306394,0,0
29,fuel_1500,fuel,4,20,0->38->0,normal,103.0,09:43,361.9684010592755,14:02,783.50325,400.0,314.979654,68.523596,0.0,0.0,0.0,0.0,41.390231,0.0,41.390231,54.280583,137.190826,0.0,0,0,0,0.0,1261.7326,4.06727,0.841155,0.376599,0,0
30,fuel_1500,fuel,5,"33,13",0->80->29->0,normal->normal,473.0,15:53,717.9543254595774,19:58,725.516505,400.0,267.353865,58.16264,0.0,0.0,0.0,0.0,35.131914,0.0,35.131914,45.872846,113.59457,0.0,0,0,0,0.0,1380.2855,3.95052,0.92019,0.365789,0,0
31,fuel_1500,fuel,6,"34,0",0->81->2->0,normal->normal,445.0,15:25,698.4772126562893,19:38,719.590977,400.0,262.487099,57.103879,0.0,0.0,0.0,0.0,34.492391,0.0,34.492391,44.983181,112.163162,0.0,0,0,0,0.0,1358.5023,3.6912,0.905668,0.341778,1,0
32,fuel_1500,fuel,7,64,0->10->0,mandatory_split,667.0,19:07,808.0241960892163,21:28,669.615792,400.0,221.44138,48.174412,0.0,0.0,0.0,0.0,29.098736,0.0,29.098736,38.745547,98.277298,25.828965,0,1,0,0.0,1246.3786,5.46714,0.830919,0.506217,1,0
33,fuel_1500,fuel,8,68,0->28->0,mandatory_split,654.0,18:54,821.418241981708,21:41,740.277505,400.0,279.477399,60.800106,0.0,0.0,0.0,0.0,36.72502,0.0,36.72502,48.95546,122.603813,38.173814,0,1,0,0.0,1356.8821,3.10427,0.904588,0.287432,0,0
34,fuel_1500,fuel,9,81,0->42->0,mandatory_split,62.0,09:02,317.0123341605067,13:17,752.475118,400.0,289.495567,62.979551,0.0,0.0,0.0,0.0,38.041467,0.0,38.041467,49.894378,125.136368,0.0,0,0,0,0.0,1314.856,3.252882,0.876571,0.301193,0,0
35,fuel_1500,fuel,10,82,0->42->0,mandatory_split,62.0,09:02,317.0123341605067,13:17,759.698407,400.0,295.428213,64.270194,0.0,0.0,0.0,0.0,38.821053,0.0,38.821053,50.9341,125.136368,0.0,0,0,0,0.0,1499.138559,4.21351,0.999426,0.39014,0,0
36,fuel_1500,fuel,11,83,0->43->0,mandatory_split,475.0,15:55,659.7219630221371,19:00,617.970222,400.0,179.023737,38.946485,0.0,0.0,0.0,0.0,23.524801,0.0,23.524801,30.536861,77.177078,0.0,0,0,0,0.0,1247.5221,2.62516,0.831681,0.24307,0,0
37,fuel_1500,fuel,12,84,0->43->0,mandatory_split,475.0,15:55,659.7219630221371,19:00,619.309447,400.0,180.123672,39.185775,0.0,0.0,0.0,0.0,23.669339,0.0,23.669339,30.725218,77.177078,0.0,0,0,0,0.0,1301.829,5.07067,0.867886,0.469506,0,0
38,fuel_1500,fuel,13,85,0->43->0,mandatory_split,475.0,15:55,659.7219630221371,19:00,617.983973,400.0,179.035031,38.948942,0.0,0.0,0.0,0.0,23.526285,0.0,23.526285,30.538795,77.177078,0.0,0,0,0,0.0,1248.0797,3.09064,0.832053,0.28617,0,0
39,fuel_1500,fuel,14,86,0->43->0,mandatory_split,475.0,15:55,659.7219630221371,19:00,618.380269,400.0,179.360518,39.019751,0.0,0.0,0.0,0.0,23.569056,0.0,23.569056,30.594532,77.177078,0.0,0,0,0,0.0,1264.1499,2.83041,0.842767,0.262075,0,0
40,fuel_1500,fuel,15,"87,69",0->44->28->0,mandatory_split->mandatory_split,486.0,16:06,795.1033325195312,21:15,752.035718,400.0,282.756324,61.513434,7.76596,0.0,23.297879,0.0,37.15589,0.0,37.15589,48.154957,121.401168,13.92024,0,1,0,0.0,1461.5012,4.38651,0.974334,0.406158,0,0
41,fuel_1500,fuel,16,88,0->44->0,mandatory_split,462.0,15:42,668.2724740158301,19:08,661.018224,400.0,214.380008,46.638216,0.0,0.0,0.0,0.0,28.170829,0.0,28.170829,36.663439,92.727798,0.0,0,0,0,0.0,1248.3566,2.90366,0.832238,0.268857,0,0
42,fuel_1500,fuel,17,89,0->44->0,mandatory_split,462.0,15:42,668.2724740158301,19:08,661.016072,400.0,214.378241,46.637831,0.0,0.0,0.0,0.0,28.170597,0.0,28.170597,36.663137,92.727798,0.0,0,0,0,0.0,1248.284,2.84909,0.832189,0.263805,0,0
43,fuel_1500,fuel,18,90,0->44->0,mandatory_split,462.0,15:42,668.2724740158301,19:08,661.014087,400.0,214.37661,46.637477,0.0,0.0,0.0,0.0,28.170382,0.0,28.170382,36.662858,92.727798,0.0,0,0,0,0.0,1248.217,3.17884,0.832145,0.294337,0,0
44,fuel_1500,fuel,19,91,0->45->0,mandatory_split,398.0,14:38,573.2754846878815,17:33,643.724194,400.0,200.176041,43.548153,0.0,0.0,0.0,0.0,26.304342,0.0,26.304342,34.370652,84.711662,0.0,0,0,0,0.0,1499.618,4.08271,0.999745,0.378029,0,0
45,fuel_1500,fuel,20,92,0->45->0,mandatory_split,398.0,14:38,573.2754846878815,17:33,643.695257,400.0,200.152274,43.542983,0.0,0.0,0.0,0.0,26.301219,0.0,26.301219,34.366528,84.711662,0.0,0,0,0,0.0,1498.5366,3.79258,0.999024,0.351165,0,0
46,fuel_1500,fuel,21,93,0->45->0,mandatory_split,398.0,14:38,573.2754846878815,17:33,638.560354,400.0,195.934866,42.625488,0.0,0.0,0.0,0.0,25.747026,0.0,25.747026,33.634731,84.711662,0.0,0,0,0,0.0,1306.6394,2.88896,0.871093,0.267496,0,0
47,fuel_1500,fuel,22,94,0->45->0,mandatory_split,398.0,14:38,573.2754846878815,17:33,643.604144,400.0,200.077441,43.526703,0.0,0.0,0.0,0.0,26.291385,0.0,26.291385,34.353543,84.711662,0.0,0,0,0,0.0,1495.1316,7.64912,0.996754,0.708252,0,0
48,fuel_1500,fuel,23,101,0->49->0,mandatory_split,300.0,13:00,356.2993621826172,13:56,494.003394,400.0,77.207055,16.796339,0.0,0.0,0.0,0.0,10.145474,0.0,10.145474,13.583443,33.455914,0.0,0,0,0,0.0,1499.6967,4.33161,0.999798,0.401075,0,0
49,fuel_1500,fuel,24,102,0->49->0,mandatory_split,300.0,13:00,356.2993621826172,13:56,493.975915,400.0,77.184486,16.791429,0.0,0.0,0.0,0.0,10.142508,0.0,10.142508,13.579473,33.455914,0.0,0,0,0,0.0,1497.0659,5.30088,0.998044,0.490822,0,0
50,fuel_1500,fuel,25,103,0->49->0,mandatory_split,300.0,13:00,356.2993621826172,13:56,493.902877,400.0,77.124498,16.778379,0.0,0.0,0.0,0.0,10.134625,0.0,10.134625,13.568919,33.455914,0.0,0,0,0,0.0,1490.0734,3.90646,0.993382,0.361709,0,0
51,fuel_1500,fuel,26,109,0->51->0,mandatory_split,482.0,16:02,666.980662221089,19:07,625.343348,400.0,185.079448,40.2639,0.0,0.0,0.0,0.0,24.320558,0.0,24.320558,31.57416,79.737175,0.0,0,0,0,0.0,1246.334755,3.87228,0.83089,0.358544,0,0
52,fuel_1500,fuel,27,112,0->52->0,mandatory_split,327.0,13:27,650.3550289461855,18:50,909.566696,400.0,418.518335,91.048361,0.0,0.0,0.0,0.0,54.995839,0.0,54.995839,72.450989,178.175552,0.0,0,0,0,0.0,1499.7824,5.197427,0.999855,0.481243,0,0
53,fuel_1500,fuel,28,"113,42",0->52->89->0,mandatory_split->normal,362.0,14:02,710.4028212434071,19:50,946.655855,400.0,448.980476,97.675378,0.0,0.0,0.0,0.0,58.998749,0.0,58.998749,77.847034,197.9946,0.0,0,0,0,0.0,1331.8478,2.96722,0.887899,0.274743,0,0
54,fuel_1500,fuel,29,117,0->53->0,mandatory_split,627.0,18:27,694.4165420532227,19:34,516.652947,400.0,95.809631,20.843316,0.0,0.0,0.0,0.0,12.589965,0.0,12.589965,16.82659,41.427246,0.0,0,0,0,0.0,1498.4656,3.52428,0.998977,0.326322,0,0
55,fuel_1500,fuel,30,124,0->55->0,mandatory_split,444.0,15:24,699.4538283804432,19:39,781.20864,400.0,313.09504,68.1136,0.0,0.0,0.0,0.0,41.142581,0.0,41.142581,53.711287,132.086609,0.0,0,0,0,0.0,1498.5906,3.26315,0.99906,0.302144,0,0
56,fuel_1500,fuel,31,129,0->56->0,mandatory_split,300.0,13:00,536.5036353409523,16:57,855.606462,400.0,374.199608,81.406854,0.0,0.0,0.0,0.0,49.17209,0.0,49.17209,65.214732,160.903809,0.0,0,0,0,0.0,1497.1642,3.16719,0.998109,0.293258,0,0
57,fuel_1500,fuel,32,131,0->57->0,mandatory_split,366.0,14:06,469.1134155722684,15:49,566.286834,400.0,136.575034,29.7118,0.0,0.0,0.0,0.0,17.946785,0.0,17.946785,23.766923,60.313583,0.0,0,0,0,0.0,1249.5072,3.40253,0.833005,0.315049,0,0
58,fuel_1500,fuel,33,132,0->57->0,mandatory_split,366.0,14:06,469.1134155722684,15:49,569.175864,400.0,138.947858,30.228006,0.0,0.0,0.0,0.0,18.258588,0.0,18.258588,24.184386,60.313583,0.0,0,0,0,0.0,1402.9315,4.10264,0.935288,0.379874,0,0
59,fuel_1500,fuel,34,133,0->57->0,mandatory_split,366.0,14:06,469.1134155722684,15:49,566.279467,400.0,136.568984,29.710484,0.0,0.0,0.0,0.0,17.94599,0.0,17.94599,23.765858,60.313583,0.0,0,0,0,0.0,1249.116,3.04475,0.832744,0.281921,0,0
60,fuel_1500,fuel,35,134,0->57->0,mandatory_split,366.0,14:06,469.1134155722684,15:49,566.249755,400.0,136.54458,29.705175,0.0,0.0,0.0,0.0,17.942783,0.0,17.942783,23.761565,60.313583,0.0,0,0,0,0.0,1247.5381,3.31334,0.831692,0.306791,0,0
61,fuel_1500,fuel,36,135,0->57->0,mandatory_split,366.0,14:06,469.1134155722684,15:49,570.261031,400.0,139.839129,30.421902,0.0,0.0,0.0,0.0,18.375707,0.0,18.375707,24.341192,60.313583,0.0,0,0,0,0.0,1460.5602,3.05127,0.973707,0.282525,0,0
62,fuel_1500,fuel,37,139,0->60->0,mandatory_split,115.0,09:55,194.47432327270508,11:14,505.241894,400.0,86.437482,18.804412,0.0,0.0,0.0,0.0,11.358408,0.0,11.358408,14.867755,36.748184,0.0,0,0,0,0.0,1499.6398,3.57051,0.99976,0.330603,0,0
63,fuel_1500,fuel,38,146,0->61->0,mandatory_split,205.0,11:25,426.8310605217703,15:07,727.191064,400.0,268.729217,58.461847,0.0,0.0,0.0,0.0,35.312643,0.0,35.312643,46.319595,113.846992,0.0,0,0,0,0.0,1468.3959,6.95016,0.978931,0.643533,0,0
64,fuel_1500,fuel,39,156,0->65->0,mandatory_split,466.0,15:46,664.6570754705463,19:05,651.756301,400.0,206.772987,44.983314,0.0,0.0,0.0,0.0,27.17122,0.0,27.17122,35.332339,86.874535,0.0,0,0,0,0.0,1498.1363,5.01876,0.998758,0.4647,0,0
65,fuel_1500,fuel,40,157,0->65->0,mandatory_split,467.0,15:47,665.1224583487492,19:05,644.866329,400.0,201.114101,43.752227,0.0,0.0,0.0,0.0,26.427609,0.0,26.427609,34.364483,86.874535,0.0,0,0,0,0.0,1249.7897,2.12534,0.833193,0.196791,0,0
66,fuel_1500,fuel,41,158,0->65->0,mandatory_split,467.0,15:47,665.1224583487492,19:05,645.317848,400.0,201.484944,43.832904,0.0,0.0,0.0,0.0,26.47634,0.0,26.47634,34.427973,86.874535,0.0,0,0,0,0.0,1266.0502,3.214783,0.844033,0.297665,0,0
67,fuel_1500,fuel,42,159,0->65->0,mandatory_split,467.0,15:47,665.1224583487492,19:05,644.843545,400.0,201.095389,43.748156,0.0,0.0,0.0,0.0,26.42515,0.0,26.42515,34.361279,86.874535,0.0,0,0,0,0.0,1248.9692,3.36271,0.832646,0.311362,0,0
68,fuel_1500,fuel,43,160,0->65->0,mandatory_split,467.0,15:47,665.1224583487492,19:05,645.972921,400.0,202.02297,43.949951,0.0,0.0,0.0,0.0,26.547039,0.0,26.547039,34.520087,86.874535,0.0,0,0,0,0.0,1289.6413,4.2575,0.859761,0.394213,0,0
69,fuel_1500,fuel,44,161,0->68->0,mandatory_split,652.0,18:52,801.4226294007094,21:21,687.48747,400.0,236.119782,51.367688,0.0,0.0,0.0,0.0,31.027567,0.0,31.027567,41.260803,101.777023,19.74452,0,1,0,0.0,1495.6782,3.40098,0.997119,0.314906,0,0
70,fuel_1500,fuel,45,163,0->68->0,mandatory_split,652.0,18:52,801.4226294007094,21:21,687.566489,400.0,236.184682,51.381807,0.0,0.0,0.0,0.0,31.036095,0.0,31.036095,41.272221,101.777023,19.74452,0,1,0,0.0,1498.165,3.19567,0.998777,0.295895,0,0
71,fuel_1500,fuel,46,164,0->68->0,mandatory_split,652.0,18:52,801.4226294007094,21:21,687.580572,400.0,236.196249,51.384323,0.0,0.0,0.0,0.0,31.037615,0.0,31.037615,41.274256,101.777023,19.74452,0,1,0,0.0,1498.6082,3.71238,0.999072,0.343739,0,0
72,fuel_1500,fuel,47,173,0->74->0,mandatory_split,292.0,12:52,484.74308680649847,16:05,770.006216,400.0,303.884927,66.109946,0.0,0.011342,0.0,0.013611,39.932316,0.0,39.932316,53.041201,131.671753,0.0,0,0,1,0.013611,1434.12,3.67297,0.95608,0.34009,0,0
73,fuel_1500,fuel,48,174,0->74->0,mandatory_split,292.0,12:52,484.74308680649847,16:05,772.327482,400.0,305.791434,66.524705,0.0,0.011342,0.0,0.013611,40.182843,0.0,40.182843,53.375774,131.671753,0.0,0,0,1,0.013611,1490.4,3.43674,0.9936,0.318217,0,0
74,fuel_1500,fuel,49,175,0->74->0,mandatory_split,292.0,12:52,484.74308680649847,16:05,772.456522,400.0,305.897418,66.547762,0.0,0.011342,0.0,0.013611,40.19677,0.0,40.19677,53.394373,131.671753,0.0,0,0,1,0.013611,1493.528634,3.82901,0.995686,0.354538,0,0
75,fuel_3000,fuel,1,11,0->25->0,normal,483.0,16:03,654.3243824171368,18:54,591.501207,400.0,157.284153,34.217054,0.0,0.0,0.0,0.0,20.668088,0.0,20.668088,26.769329,67.482307,0.0,0,0,0,0.0,2528.1351,5.33839,0.842712,0.395436,0,0
76,fuel_3000,fuel,2,21,0->40->0,normal,463.0,15:43,686.4466369971633,19:26,709.701507,400.0,254.364659,55.336848,0.0,0.0,0.0,0.0,33.425054,0.0,33.425054,43.559493,108.888313,0.0,0,0,0,0.0,2691.1358,7.9507,0.897045,0.588941,0,0
77,fuel_3000,fuel,3,22,0->41->0,normal,245.0,12:05,438.4249784478452,15:18,716.434814,400.0,259.878507,56.536381,0.0,0.019925,0.0,0.023911,34.149607,0.0,34.149607,45.090102,112.020737,0.0,0,0,1,0.023911,2786.4185,7.943983,0.928806,0.588443,0,0
78,fuel_3000,fuel,4,23,0->47->0,normal,638.0,18:38,693.8704605102539,19:34,491.881253,400.0,75.464094,16.417159,0.0,0.0,0.0,0.0,9.916438,0.0,9.916438,13.276796,33.060608,0.0,0,0,0,0.0,2803.414845,8.09606,0.934472,0.599708,0,0
79,fuel_3000,fuel,5,24,0->58->0,normal,314.0,13:14,486.401471419842,16:06,733.649461,400.0,274.033641,59.615821,0.0,0.0,0.0,0.0,36.009677,0.0,36.009677,47.858711,118.440201,0.0,0,0,0,0.0,2933.964,9.833463,0.977988,0.728405,0,0
80,fuel_3000,fuel,6,"25,8",0->66->16->0,normal->normal,68.0,09:08,308.1504760744283,13:08,684.398566,400.0,233.582797,50.815769,0.0,0.0,0.0,0.0,30.694191,0.0,30.694191,40.191765,99.638684,0.0,0,0,0,0.0,2910.978817,8.8727,0.970326,0.657237,0,0
81,fuel_3000,fuel,7,26,0->67->0,normal,665.0,19:05,809.9637867514393,21:30,685.781197,400.0,234.718383,51.062815,0.0,0.0,0.0,0.0,30.843414,0.0,30.843414,41.0814,101.908287,27.616621,0,1,0,0.0,2885.641443,8.92494,0.96188,0.661107,0,0
82,fuel_3000,fuel,8,27,0->69->0,normal,441.0,15:21,681.7341283129063,19:22,725.718058,400.0,267.519405,58.198653,0.0,0.0,0.0,0.0,35.153667,0.0,35.153667,45.878434,117.524956,0.0,0,0,0,0.0,2288.8859,6.06402,0.762962,0.449187,0,0
83,fuel_3000,fuel,9,28,0->72->0,normal,630.0,18:30,751.4440680044354,20:31,630.829847,400.0,189.58563,41.244217,0.0,0.0,0.0,0.0,24.912698,0.0,24.912698,33.187414,83.068665,0.0,0,0,0,0.0,2725.3232,7.50056,0.908441,0.555597,0,0
84,fuel_3000,fuel,10,"29,18",0->76->35->0,normal->normal,1.0,08:01,385.75877245097024,14:26,894.146422,400.0,405.853324,88.293097,0.0,0.0,0.0,0.0,53.33158,0.0,53.33158,69.750802,181.544342,0.0,0,0,0,0.0,2948.8803,7.912977,0.98296,0.586146,0,0
85,fuel_3000,fuel,11,"36,176",0->83->75->0,normal->mandatory_split,339.0,13:39,646.8327895532002,18:47,800.433208,400.0,328.884601,71.548607,0.0,0.0,0.0,0.0,43.217425,0.0,43.217425,56.643463,145.435892,0.0,0,0,0,0.0,2929.041,7.27944,0.976347,0.539218,0,0
86,fuel_3000,fuel,12,"38,32",0->85->79->0,normal->normal,83.0,09:23,341.0275169238448,13:41,718.316537,400.0,261.440373,56.876164,0.0,0.0,0.0,0.0,34.354845,0.0,34.354845,45.063037,116.115357,0.0,0,0,0,0.0,2908.9603,8.78747,0.969653,0.650924,0,0
87,fuel_3000,fuel,13,"40,165",0->87->70->0,normal->mandatory_split,68.0,09:08,467.4966506685979,15:47,1062.148712,400.0,526.764229,114.597177,0.0,20.787306,0.0,24.944767,69.220004,0.0,69.220004,91.063401,227.88348,0.0,0,0,1,24.944767,2874.2584,9.20018,0.958086,0.681495,0,0
88,fuel_3000,fuel,14,"44,66",0->91->27->0,normal->mandatory_split,441.0,15:21,715.3991317749023,19:55,786.151114,400.0,317.154403,68.996711,0.0,0.0,0.0,0.0,41.676006,0.0,41.676006,54.698835,145.034811,0.0,0,0,0,0.0,1869.4049,4.72093,0.623135,0.349699,0,0
89,fuel_3000,fuel,15,"45,107",0->92->51->0,normal->mandatory_split,461.0,15:41,666.7000961303711,19:07,621.199769,400.0,178.512272,38.835216,0.824404,3.027876,2.473213,3.633451,23.457592,0.0,23.457592,30.494507,79.664629,0.0,0,0,1,3.633451,2773.7716,6.45771,0.924591,0.478349,0,0
90,fuel_3000,fuel,16,"47,130",0->94->56->0,normal->mandatory_split,300.0,13:00,544.7468584186572,17:05,796.485757,400.0,325.642472,70.843285,0.0,0.0,0.0,0.0,42.791389,0.0,42.791389,56.61963,145.308653,0.0,0,0,0,0.0,2579.6287,7.84239,0.859876,0.580918,0,0
